network_id,fitting_id,fitting_classification,service_origin,pole_id,conduit_ids,trace_status,trace_note
LGTNET00001,LGTFIT00077,,unclassified_fitting,LGTLT00719,LGTCON02827,reachable,
LGTNET00001,LGTFIT00077,,unclassified_fitting,LGTLT00720,LGTCON02827;LGTCON02826,reachable,
LGTNET00001,LGTFIT00077,,unclassified_fitting,LGTLT00721,LGTCON02827;LGTCON02826;LGTCON02825,reachable,
LGTNET00001,LGTFIT00077,,unclassified_fitting,LGTLT00722,,unreachable,
LGTNET00001,LGTFIT00077,,unclassified_fitting,LGTLT00723,,unreachable,
LGTNET00003,LGTFIT00884,,unclassified_fitting,LGTLT00715,LGTCON02888;LGTCON02889;LGTCON02886;LGTCON02885;LGTCON02884;LGTCON02883,reachable,
LGTNET00003,LGTFIT00884,,unclassified_fitting,LGTLT00716,LGTCON02888;LGTCON02889;LGTCON02886;LGTCON02885;LGTCON02884,reachable,
LGTNET00003,LGTFIT00884,,unclassified_fitting,LGTLT00717,LGTCON02888;LGTCON02889;LGTCON02886;LGTCON02885,reachable,
LGTNET00003,LGTFIT00884,,unclassified_fitting,LGTLT00718,LGTCON02888;LGTCON02889;LGTCON02886,reachable,
LGTNET00003,LGTFIT00884,,unclassified_fitting,LGTLT02588,LGTCON02888;LGTCON02889,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT00071,LGTCON03868;LGTCON03761;LGTCON03760;LGTCON03759,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT00072,LGTCON03868;LGTCON03761;LGTCON03760,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT00073,LGTCON03868;LGTCON03761,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT00074,LGTCON03868,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT00075,LGTCON03868;LGTCON03660;LGTCON03661;LGTCON03762,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT02842,LGTCON03868;LGTCON03660;LGTCON03661,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT02843,LGTCON03868;LGTCON03660,reachable,
LGTNET00004,LGTFIT00991,,unclassified_fitting,LGTLT05210,LGTCON03868;LGTCON03660;LGTCON03661;LGTCON03762;LGTCON04257;LGTCON04255;LGTCON04256,reachable,
LGTNET00004,LGTFIT00992,,unclassified_fitting,LGTLT00071,LGTCON03869;LGTCON03660;LGTCON03761;LGTCON03760;LGTCON03759,reachable,
LGTNET00004,LGTFIT00992,,unclassified_fitting,LGTLT00072,LGTCON03869;LGTCON03660;LGTCON03761;LGTCON03760,reachable,
LGTNET00004,LGTFIT00992,,unclassified_fitting,LGTLT00073,LGTCON03869;LGTCON03660;LGTCON03761,reachable,
LGTNET00004,LGTFIT00992,,unclassified_fitting,LGTLT00074,LGTCON03869;LGTCON03660,reachable,
